Mode,Cores,Tiempo (s),Speed-up
Secuencial,1,1.688788652420044,1.0
Paralelo,1,3.267207384109497,0.5168905593913918
Paralelo,2,2.6484947204589844,0.6376409359529993
Paralelo,4,2.6350162029266357,0.6409025684716305
Paralelo,8,4.008047342300415,0.42134947723715394
